titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
Embouts x2 ebcp 35/25 1 noir +;23.19;FALSE;0.14143965;9;hager;https://www.manomano.fr/catalogue/p/embouts-x2-ebcp-35-25-1-noir-9005720;cuadros;14/12/2020
TABLEAU ÉLECTRIQUE HAGER 3 RANGÉE ÉQUIPÉ ET PRÉ CABLÉ (HAG3RBIS) PORTE OFFERTE;289;FALSE;0.14126294;9.99;michaud;https://www.manomano.fr/catalogue/p/tableau-electrique-hager-3-rangee-equipe-et-pre-cable-hag3rbis-porte-offerte-26113695?model_id=26094586;cuadros;14/12/2020
TABLEAU ÉLECTRIQUE HAGER 2 RANGÉE ÉQUIPÉ ET PRÉ CABLÉ (HAG2R) PORTE OFFERTE;209;FALSE;0.14124494;6.88;legrand;https://www.manomano.fr/catalogue/p/tableau-electrique-hager-2-rangee-equipe-et-pre-cable-hag2r-porte-offerte-26113696?model_id=26094587;cuadros;14/12/2020
Tableau Électrique en Saillie IP65  5 -  5;14.39;FALSE;0.138724159;1.99;legrand;https://www.manomano.fr/catalogue/p/tableau-electrique-en-saillie-ip65-12-6235451;cuadros;14/12/2020
Coffret électrique nu à équiper 13 modules - Thomson;18.9;FALSE;0.138631279;3.99;michaud;https://www.manomano.fr/catalogue/p/n-a-7717015?model_id=12277003;cuadros;14/12/2020
SERRURE TRIANGLE 1/2 TR BEIGE MICHAUD N003;2.86;FALSE;0.137995794;3.99;CAHORS;https://www.manomano.fr/catalogue/p/serrure-triangle-1-2-tr-beige-michaud-n003-7673560;cuadros;14/12/2020
Tableau électrique  pré équipé 3 rangées 39 modules 4ID + 13 disjoncteurs NALTO;142;FALSE;0.135962189;;hager;https://www.manomano.fr/catalogue/p/tableau-pre-equipe-nalto-3-rangees-13980782;cuadros;14/12/2020
HAGER Gamma Tableau électrique prééquipé 3 rangées 3ID 63A 12 disjoncteurs;259;FALSE;0.135239878;;hager;https://www.manomano.fr/catalogue/p/hager-gamma-tableau-electrique-preequipe-3-rangees-3id-63a-12-disjoncteurs-25566815?model_id=25547707;cuadros;14/12/2020
Coffret pré-équipé 2R 24 modules avec 2 Inter diff 40A 30mA + 7 disjoncteurs pour studio IP20 IRM165531 ABB 1SLM004170A3005;112.52;FALSE;0.135143501;7.95;LEDKIA;https://www.manomano.fr/catalogue/p/coffret-pre-equipe-2r-24-modules-avec-2-inter-diff-40a-30ma-7-disjoncteurs-pour-studio-ip20-irm165531-abb-1slm004170a3005-15642571;cuadros;14/12/2020
HAGER Gamma Tableau électrique prééquipé 3 rangées 3ID 40A 10 disjoncteurs;229;FALSE;0.135031416;4;thomson;https://www.manomano.fr/catalogue/p/hager-gamma-tableau-electrique-preequipe-3-rangees-3id-40a-10-disjoncteurs-25566814?model_id=25547706;cuadros;14/12/2020
