titulo;precio;esb2b;business_Score;transporte;marca;url;categoria;fecha
ProDis Vigi DT40 - bloc différentiel 3P+N 25A 300mA instantané type AC 230-415V;90.98;false;0.0002382598;9.34;SCHNEIDER;https://www.manomano.fr/catalogue/p/prodis-vigi-dt40-bloc-differentiel-3p-n-25a-300ma-instantane-type-ac-schneider-96672;diferenciales;2020-12-17
Coffret atelier étanche IP65 Inter-Diff + disjoncteur + prise;141.42;false;0.0002372383;7.50;debflex;https://www.manomano.fr/catalogue/p/coffret-atelier-etanche-ip65-inter-diff-disjoncteur-prise-1149821;diferenciales;2020-12-17
Interrupteur différentiel 40A 30 mA type A NALTO;30.9;false;0.0002236883;9.90;nalto;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-40a-30-ma-type-a-nalto-16677345?model_id=16677180;diferenciales;2020-12-17
DISJONCTEUR DIFFERENTIEL DX³ TETRAPOLAIRE 10A TYPE AC 30MA 10KA COURBE C LEGRAND 411185;131.15;false;0.000204987;9.99;legrand;https://www.manomano.fr/catalogue/p/disjoncteur-differentiel-dx-tetrapolaire-10a-type-ac-30ma-10ka-courbe-c-legrand-411185-2139331;diferenciales;2020-12-17
Disjoncteur différentiel 230V 30MA 20 A;194.4;false;0.000193733;;legrand;https://www.manomano.fr/catalogue/p/legrand-disjoncteur-dif30ma-1p-n-20a-cp-92833-519167;diferenciales;2020-12-17
Legrand 058990 - Coffret éclairage public - IP 44 Interrupteur Différentiel et c/c - gris;121.91;false;0.000184489;4.55;legrand;https://www.manomano.fr/catalogue/p/legrand-058990-coffret-eclairage-public-ip-44-interrupteur-differentiel-et-c-c-gris-3997986;diferenciales;2020-12-17
DISJONCTEUR DIFFERENTIEL DX³ 6000 VIS/VIS 230V 40A TYPE HPI 30MA 10KA COURBE C 2 MODULES LEGRAND 410859;171.23;false;0.0001804509;9.99;legrand;https://www.manomano.fr/catalogue/p/disj-diff-dx-6000-vis-vis-u-n-230v-40a-type-hpi-30-ma-10-ka-courbe-c-2m-1785990;diferenciales;2020-12-17
Legrand 410725 Disjoncteur différentiel DX³ 4500-vis/vis-u+n 230v;112.09;false;0.000178492;4.55;legrand;https://www.manomano.fr/catalogue/p/disj-diff-dx-4500-vis-vis-u-n-230v-16a-typeac-300ma-6ka-courbe-c-2m-1785966;diferenciales;2020-12-17
Interrupteur différentiel - 63A tétrapolaires type AC - Vis/auto- 300ma - 411655 - Legrand;149.89;false;0.0001778941;6.00;legrand;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-63a-tetrapolaires-type-ac-vis-auto-300ma-411655-legrand-2139374;diferenciales;2020-12-17
Interrupteur differentiel Gewiss 63a ac;64.94;false;0.000171112;3.99;gewiss;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-gewiss-63a-ac-4344521;diferenciales;2020-12-17
Disj diff DX³ 6000 -vis/auto-4P-400V~-63A-typeAC-30mA-10kA-courbe C - 7M;384.87;false;0.0001666427;;legrand;https://www.manomano.fr/catalogue/p/disj-diff-dx-6000-vis-auto-4p-400v-63a-typeac-30ma-10ka-courbe-c-7m-2139341;diferenciales;2020-12-17
Disj diff DX³ 4500 - vis/vis -U+N 230V~ 25A -typeAC - 300mA - 6kA -courbe C - 2M;127.75;false;0.0001627122;3.99;legrand;https://www.manomano.fr/catalogue/p/disj-diff-dx-4500-vis-vis-u-n-230v-25a-typeac-300ma-6ka-courbe-c-2m-1785968;diferenciales;2020-12-17
Disjoncteur différentiel DX3 vis/vis U+N 230V 16A type AC 30mA 10kA courbe C 2 Modules LEGRAND 410785;98.37;false;0.0001615228;9.99;legrand;https://www.manomano.fr/catalogue/p/disj-diff-dx-6000-vis-vis-u-n-230v-16-a-type-ac-30-ma-10-ka-courbe-c-2m-1731476;diferenciales;2020-12-17
DISJONCTEUR DIFF DX³ 6000-VIS/VIS 4P 400V~ -16A -TYPE AC 300MA -10 KA COURBE C 4M LEGRAND 411205;155.29;false;0.0001610597;9.99;legrand;https://www.manomano.fr/catalogue/p/disjoncteur-4p-c16-6000a-ac-300ma-4m-2887370;diferenciales;2020-12-17
DX3 DISJONCTEUR DIFFERENTIEL 1P+NG C 10A 6000A/ 10KA AC 30MA 2 MODULES LEGRAND 410784;98.37;false;0.0001610556;9.99;legrand;https://www.manomano.fr/catalogue/p/dx3-disjoncteur-differentiel-1p-ng-c-10a-6000a-10ka-ac-30ma-2-modules-legrand-410784-559608;diferenciales;2020-12-17
MOSAIC DISJONCTEUR MAGNETO-THERMIQUE 10A LEGRAND 077521;58.35;false;0.0001575902;9.99;legrand;https://www.manomano.fr/catalogue/p/mosaic-disjoncteur-magneto-ther-10a-legrand-077521-412420;diferenciales;2020-12-17
Interrupteur Différentiel tétrapolaire. protection des départss - 40A - AC/0.03 - Gewiss;94.34;false;0.0001562824;4.95;gewiss;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-tetrapolaire-protection-des-departs-4114178?model_id=4114179;diferenciales;2020-12-17
Interrupteur différentiel bipolaire type A 30 mA Legrand - 63 A;154.4;false;0.0001556996;;legrand;https://www.manomano.fr/catalogue/p/interrupteur-differentiel-dx3-id-2p-63a-a-30ma-tga-legrand-092899-3810764;diferenciales;2020-12-17
