ACTI9 IC60N DISJ 4P 32A COURB C (A9F77432);38.1;false;1.0285565427;1.99;hager;https://www.manomano.fr/catalogue/p/acti9-ic60n-disj-4p-32a-courb-c-126193;disjuntores_modulares;2020-12-14
Interrupteur différentiel Legrand 411560 40 A 0.03 A 230 V 1 pc(s);29.99;false;0.9592349228;1.99;legrand;https://www.manomano.fr/catalogue/p/legrand-rigide-de-protection-tx3fi-40a-2p-30ma-a-411560-5324964;disjuntores_modulares;2020-12-14
Disjoncteur 16A 1P+N courbe C 3kA norme NF raccordement vis (THOMSON) PROTEC PRD3KC16;2.98;false;0.8652582738;1.99;SCHNEIDER;https://www.manomano.fr/catalogue/p/disjoncteur-ph-n-16a-3ka-4035973;disjuntores_modulares;2020-12-14
Disjoncteur 10A 1P+N courbe C 3kA norme NF raccordement vis (THOMSON) PROTEC PRD3KC10;2.98;false;0.8563778166;;siemens;https://www.manomano.fr/catalogue/p/disjoncteur-ph-n-10a-3ka-4035972;disjuntores_modulares;2020-12-14
Disjoncteur 1P+N à vis 16A - 3kA type C NF NALTO;3.85;false;0.8008406369;3.99;SCHNEIDER;https://www.manomano.fr/catalogue/p/disjoncteur-1p-n-a-vis-16a-3ka-type-c-nf-nalto-16677340?model_id=16677175;disjuntores_modulares;2020-12-14
Disjoncteur 2A 1P+N courbe C 6kA bornes à vis DNX4500 LEGRAND 406771;11.49;false;0.7900891374;3.25;SCHNEIDER;https://www.manomano.fr/catalogue/p/disjoncteur-2a-1p-n-courbe-c-6ka-bornes-a-vis-dnx4500-legrand-406771-23742774?model_id=23723667;disjuntores_modulares;2020-12-14
Disjoncteur 1p + n 10A - courbe C - peignable Schneider R9PFC610;8.64;false;0.7515412414;3.99;SCHNEIDER;https://www.manomano.fr/catalogue/p/disjoncteur-schneider-1p-n-10a-courbe-c-peignable-resi9-xp-6343576;disjuntores_modulares;2020-12-14
Disjoncteur 1p + n 20A - courbe C - Embrochable resi9 xe Schneider R9EFC620;8.68;false;0.7378509096;1.99;hager;https://www.manomano.fr/catalogue/p/disjoncteur-schneider-1p-n-20a-courbe-c-embrochable-resi9-xe-6357940;disjuntores_modulares;2020-12-14
Disjoncteur 1p+n 16 a embrochable r9efc616;12.19;false;0.7153911356;1.99;hager;https://www.manomano.fr/catalogue/p/disjoncteur-unipolaire-neutre-auto-auto-courbe-c-merlin-gerin-schneider-53887;disjuntores_modulares;2020-12-14
Disjoncteur 40A courbe C Vis/Vis- 406873 - Legrand;20.53;false;0.7013545076;1.99;SCHNEIDER;https://www.manomano.fr/catalogue/p/disjoncteur-dx3-1p-ng-c40-4500a-6ka-legrand-406873-477029;disjuntores_modulares;2020-12-14
INTERRUPTEUR DIFFERENTIEL DX3-ID 2 POLES 25A AC 30MA LEGRAND 411504;33.78;false;0.6863366443;3.99;SCHNEIDER;https://www.manomano.fr/catalogue/p/dx3-inter-dif-2p-25a-ac-30ma-144384;disjuntores_modulares;2020-12-14
Disjoncteur 1p + n 2A - courbe C - Embrochable resi9 xe Schneider R9EFC602;9.82;false;0.6826481023;;siemens;https://www.manomano.fr/catalogue/p/disjoncteur-modulaire-resi9-xe-embrochable-1p-n-2a-courbe-c-schneider-electric-11192349;disjuntores_modulares;2020-12-14
Disjoncteur Legrand 2 A DNX 3 - automatique courbe C;14.53;false;0.6815200897;9.90;nalto;https://www.manomano.fr/catalogue/p/disjoncteur-dnx3-4500-auto-auto-u-n-230v-2a-45ka-courbe-c-1-mod-406780-54738;disjuntores_modulares;2020-12-14
407899 Disjoncteur DX³ 6000A/10kA 4P C20 400V 4 modules;55.0;false;0.677850971;1.99;SCHNEIDER;https://www.manomano.fr/catalogue/p/legrand-disjoncteur-dx-6000-vis-vis-4-poles-400v-20a-10ka-courbe-c-peigne-hx-4-modules-979428;disjuntores_modulares;2020-12-14
Disjoncteur 1P+N à vis 10A - 3kA type C NF NALTO;3.85;false;0.6745929978;4.95;legrand;https://www.manomano.fr/catalogue/p/disjoncteur-1p-n-a-vis-10a-3ka-type-c-nf-nalto-16677339?model_id=16677174;disjuntores_modulares;2020-12-14
Disjoncteur 1p + n 20A - courbe C - peignable resi9 xp Schneider R9PFC620;8.64;false;0.627706778;3.99;protec;https://www.manomano.fr/catalogue/p/disjoncteur-mono-dclic-20a-xp-peignable-courbe-c-53877;disjuntores_modulares;2020-12-14
Disjoncteur 20A General Electric UNIBIS Ph+N Courbe C 4.5kA;8.39;false;0.607543963;3.99;protec;https://www.manomano.fr/catalogue/p/disjoncteur-10a-general-electric-unibis-ph-n-courbe-c-45ka-55439?model_id=143931;disjuntores_modulares;2020-12-14
Disjoncteur Automatique Unipolaire Résidentiel 1P-6kA 6-40A  32 A -  32 A;3.19;false;0.5713256513;;siemens;https://www.manomano.fr/catalogue/p/disjoncteur-unipolaire-industriel-1p-6ka-10-a-4379872?model_id=4379876;disjuntores_modulares;2020-12-14
Disjoncteur 20A 1P+N courbe C 4.5kA norme NF raccordement vis PROTEC PRODIS320;3.42;false;0.568696838;9.90;nalto;https://www.manomano.fr/catalogue/p/disjoncteur-ph-n-20a-4035970;disjuntores_modulares;2020-12-14
Disjoncteurs à vis PH+N - 32A NF - Thomson;6.89;false;0.5683493439;3.99;legrand;https://www.manomano.fr/catalogue/p/disjoncteurs-a-vis-ph-n-thomson-2-10-16-20-32a-nf-2010057?model_id=2010060;disjuntores_modulares;2020-12-14
Disjoncteur 1p + n 32A - courbe C - Embrochable resi9 xe Schneider R9EFC632;9.96;false;0.5673656611;3.25;SCHNEIDER;https://www.manomano.fr/catalogue/p/disjoncteur-modulaire-resi9-xe-embrochable-1p-n-32a-courbe-c-schneider-electric-11192353;disjuntores_modulares;2020-12-14
Disjoncteur Phase + Neutre - 16A - bornes automatiques - 1 module;9.07;false;0.5673069701;3.25;SCHNEIDER;https://www.manomano.fr/catalogue/p/disjoncteur-phase-n-16-amperes-auto-1693011;disjuntores_modulares;2020-12-14
Disjoncteur 2A 1P+N courbe C 3kA bornes vis peignable classqiue DCLIC XP SCHNEIDER 20724;7.12;false;0.5649015062;3.99;schneider;https://www.manomano.fr/catalogue/p/disjoncteur-2a-1p-n-courbe-c-peignable-72280;disjuntores_modulares;2020-12-14
Disjoncteur Phase + Neutre - 32A - bornes à vis - 1 module;16.34;false;0.562339513;6.00;legrand;https://www.manomano.fr/catalogue/p/disjoncteur-dnx-type-c-legrand-323170;disjuntores_modulares;2020-12-14
Disjoncteur 1P+N courbe C - Disjoncteur 1P+N 3kA C - 25A (MFN725);9.72;false;0.5530094241;1.99;hager;https://www.manomano.fr/catalogue/p/disjoncteur-hager-25a-modulaire-phase-neutre-25a-54192;disjuntores_modulares;2020-12-14
Clé dynamométrique 40-200 Nm 1/2 479 mm FACOM - S.208-200;229.15;false;0.5438848196;;facom;https://www.manomano.fr/catalogue/p/facom-cles-a-declenchement-avec-cliquet-fixe-1-2-s208-200-6388341;disjuntores_modulares;2020-12-14
DT40 1P N 10A C 6KA Schneider Electric;10.08;false;0.5273409944;3.99;SCHNEIDER;https://www.manomano.fr/catalogue/p/disjoncteur-dt40-uni-n-10a-courbe-c-6ka-schneider-55026;disjuntores_modulares;2020-12-14
Disjoncteur PH/N - 16A NF - Zenitech;5.9;false;0.5132798608;4.00;zenitech;https://www.manomano.fr/catalogue/p/disjoncteur-ph-n-nf-2-10-16-20-25-ou-32a-1956792?model_id=2010497;disjuntores_modulares;2020-12-14
Disjoncteur 32A 1P+N Courbe C 3kA embrochable DCLIC XE SCHNEIDER 16729;10.14;false;0.4439504926;3.99;schneider;https://www.manomano.fr/catalogue/p/schneider-16729-duoline-xe-disjoncteur-dclic-1p-n-32a-courbe-c-embrochable-53889;disjuntores_modulares;2020-12-14
